Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967	59	-15	15	967
60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992	60	-124	25	992
61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018	61	-224	26	1018
62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031	62	-13	13	1031
63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044	63	-13	13	1044
64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057	64	-13	13	1057
65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070	65	-13	13	1070
66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087	66	-17	17	1087
67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103	67	-16	16	1103
68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116	68	-13	13	1116
69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129	69	-13	13	1129
70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144	70	-15	15	1144
71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157	71	-13	13	1157
72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172	72	-15	15	1172
73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190	73	-18	18	1190
74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203	74	-13	13	1203
75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222	75	-19	19	1222
76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239	76	-17	17	1239
77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258	77	-19	19	1258
