Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
135	-287	188	7310	135	-287	188	7310	135	-287	188	7310	135	-287	188	7310	135	-287	188	7310	135	-287	188	7310	135	-287	188	7310
136	-31	31	7341	136	-31	31	7341	136	-31	31	7341	136	-31	31	7341	136	-31	31	7341	136	-31	31	7341	136	-31	31	7341
137	-219	120	7461	137	-219	120	7461	137	-219	120	7461	137	-219	120	7461	137	-219	120	7461	137	-219	120	7461	137	-219	120	7461
138	-25	25	7486	138	-25	25	7486	138	-25	25	7486	138	-25	25	7486	138	-25	25	7486	138	-25	25	7486	138	-25	25	7486
139	-22	22	7508	139	-22	22	7508	139	-22	22	7508	139	-22	22	7508	139	-22	22	7508	139	-22	22	7508	139	-22	22	7508
140	-230	131	7639	140	-230	131	7639	140	-230	131	7639	140	-230	131	7639	140	-230	131	7639	140	-230	131	7639	140	-230	131	7639
141	-26	26	7665	141	-26	26	7665	141	-26	26	7665	141	-26	26	7665	141	-26	26	7665	141	-26	26	7665	141	-26	26	7665
142	-639	243	7908	142	-639	243	7908	142	-639	243	7908	142	-639	243	7908	142	-639	243	7908	142	-639	243	7908	142	-639	243	7908
143	-226	127	8035	143	-226	127	8035	143	-226	127	8035	143	-226	127	8035	143	-226	127	8035	143	-226	127	8035	143	-226	127	8035
144	-1135	1036	9071	144	-1135	1036	9071	144	-1135	1036	9071	144	-1135	1036	9071	144	-1135	1036	9071	144	-1135	1036	9071	144	-1135	1036	9071
145	-162	162	9233	145	-162	162	9233	145	-162	162	9233	145	-162	162	9233	145	-162	162	9233	145	-162	162	9233	145	-162	162	9233
146	-25	25	9258	146	-25	25	9258	146	-25	25	9258	146	-25	25	9258	146	-25	25	9258	146	-25	25	9258	146	-25	25	9258
147	-146	146	9404	147	-146	146	9404	147	-146	146	9404	147	-146	146	9404	147	-146	146	9404	147	-146	146	9404	147	-146	146	9404
148	-748	550	9954	148	-748	550	9954	148	-748	550	9954	148	-748	550	9954	148	-748	550	9954	148	-748	550	9954	148	-748	550	9954
149	-385	187	10141	149	-385	187	10141	149	-385	187	10141	149	-385	187	10141	149	-385	187	10141	149	-385	187	10141	149	-385	187	10141
150	-39	39	10180	150	-39	39	10180	150	-39	39	10180	150	-39	39	10180	150	-39	39	10180	150	-39	39	10180	150	-39	39	10180
151	-235	136	10316	151	-235	136	10316	151	-235	136	10316	151	-235	136	10316	151	-235	136	10316	151	-235	136	10316	151	-235	136	10316
152	-43	43	10359	152	-43	43	10359	152	-43	43	10359	152	-43	43	10359	152	-43	43	10359	152	-43	43	10359	152	-43	43	10359
153	-2351	1658	12017	153	-2351	1658	12017	153	-2351	1658	12017	153	-2351	1658	12017	153	-2351	1658	12017	153	-2351	1658	12017	153	-2351	1658	12017
154	-114	114	12131	154	-114	114	12131	154	-114	114	12131	154	-114	114	12131	154	-114	114	12131	154	-114	114	12131	154	-114	114	12131
155	-64	64	12195	155	-64	64	12195	155	-64	64	12195	155	-64	64	12195	155	-64	64	12195	155	-64	64	12195	155	-64	64	12195
156	-38	38	12233	156	-38	38	12233	156	-38	38	12233	156	-38	38	12233	156	-38	38	12233	156	-38	38	12233	156	-38	38	12233
157	-23	23	12256	157	-23	23	12256	157	-23	23	12256	157	-23	23	12256	157	-23	23	12256	157	-23	23	12256	157	-23	23	12256
158	-53	53	12309	158	-53	53	12309	158	-53	53	12309	158	-53	53	12309	158	-53	53	12309	158	-53	53	12309	158	-53	53	12309
159	-41	41	12350	159	-41	41	12350	159	-41	41	12350	159	-41	41	12350	159	-41	41	12350	159	-41	41	12350	159	-41	41	12350
160	-328	130	12480	160	-328	130	12480	160	-328	130	12480	160	-328	130	12480	160	-328	130	12480	160	-328	130	12480	160	-328	130	12480
161	-25	25	12505	161	-25	25	12505	161	-25	25	12505	161	-25	25	12505	161	-25	25	12505	161	-25	25	12505	161	-25	25	12505
162	-87	87	12592	162	-87	87	12592	162	-87	87	12592	162	-87	87	12592	162	-87	87	12592	162	-87	87	12592	162	-87	87	12592
163	-24	24	12616	163	-24	24	12616	163	-24	24	12616	163	-24	24	12616	163	-24	24	12616	163	-24	24	12616	163	-24	24	12616
164	-200	200	12816	164	-200	200	12816	164	-200	200	12816	164	-200	200	12816	164	-200	200	12816	164	-200	200	12816	164	-200	200	12816
165	-266	167	12983	165	-266	167	12983	165	-266	167	12983	165	-266	167	12983	165	-266	167	12983	165	-266	167	12983	165	-266	167	12983
166	-19	19	13002	166	-19	19	13002	166	-19	19	13002	166	-19	19	13002	166	-19	19	13002	166	-19	19	13002	166	-19	19	13002
167	-376	277	13279	167	-376	277	13279	167	-376	277	13279	167	-376	277	13279	167	-376	277	13279	167	-376	277	13279	167	-376	277	13279
168	-330	231	13510	168	-330	231	13510	168	-330	231	13510	168	-330	231	13510	168	-330	231	13510	168	-330	231	13510	168	-330	231	13510
169	-40	40	13550	169	-40	40	13550	169	-40	40	13550	169	-40	40	13550	169	-40	40	13550	169	-40	40	13550	169	-40	40	13550
170	-227	128	13678	170	-227	128	13678	170	-227	128	13678	170	-227	128	13678	170	-227	128	13678	170	-227	128	13678	170	-227	128	13678
171	-98	98	13776	171	-98	98	13776	171	-98	98	13776	171	-98	98	13776	171	-98	98	13776	171	-98	98	13776	171	-98	98	13776
172	-42	42	13818	172	-42	42	13818	172	-42	42	13818	172	-42	42	13818	172	-42	42	13818	172	-42	42	13818	172	-42	42	13818
173	-62	62	13880	173	-62	62	13880	173	-62	62	13880	173	-62	62	13880	173	-62	62	13880	173	-62	62	13880	173	-62	62	13880
174	-25	25	13905	174	-25	25	13905	174	-25	25	13905	174	-25	25	13905	174	-25	25	13905	174	-25	25	13905	174	-25	25	13905
175	-27	27	13932	175	-27	27	13932	175	-27	27	13932	175	-27	27	13932	175	-27	27	13932	175	-27	27	13932	175	-27	27	13932
176	-29	29	13961	176	-29	29	13961	176	-29	29	13961	176	-29	29	13961	176	-29	29	13961	176	-29	29	13961	176	-29	29	13961
177	-38	38	13999	177	-38	38	13999	177	-38	38	13999	177	-38	38	13999	177	-38	38	13999	177	-38	38	13999	177	-38	38	13999
178	-38	38	14037	178	-38	38	14037	178	-38	38	14037	178	-38	38	14037	178	-38	38	14037	178	-38	38	14037	178	-38	38	14037
179	-44	44	14081	179	-44	44	14081	179	-44	44	14081	179	-44	44	14081	179	-44	44	14081	179	-44	44	14081	179	-44	44	14081
180	-45	45	14126	180	-45	45	14126	180	-45	45	14126	180	-45	45	14126	180	-45	45	14126	180	-45	45	14126	180	-45	45	14126
181	-139	40	14166	181	-139	40	14166	181	-139	40	14166	181	-139	40	14166	181	-139	40	14166	181	-139	40	14166	181	-139	40	14166
182	-35	35	14201	182	-35	35	14201	182	-35	35	14201	182	-35	35	14201	182	-35	35	14201	182	-35	35	14201	182	-35	35	14201
183	-33	33	14234	183	-33	33	14234	183	-33	33	14234	183	-33	33	14234	183	-33	33	14234	183	-33	33	14234	183	-33	33	14234
184	-25	25	14259	184	-25	25	14259	184	-25	25	14259	184	-25	25	14259	184	-25	25	14259	184	-25	25	14259	184	-25	25	14259
185	-232	133	14392	185	-232	133	14392	185	-232	133	14392	185	-232	133	14392	185	-232	133	14392	185	-232	133	14392	185	-232	133	14392
186	-23	23	14415	186	-23	23	14415	186	-23	23	14415	186	-23	23	14415	186	-23	23	14415	186	-23	23	14415	186	-23	23	14415
187	-28	28	14443	187	-28	28	14443	187	-28	28	14443	187	-28	28	14443	187	-28	28	14443	187	-28	28	14443	187	-28	28	14443
188	-49	49	14492	188	-49	49	14492	188	-49	49	14492	188	-49	49	14492	188	-49	49	14492	188	-49	49	14492	188	-49	49	14492
189	-51	51	14543	189	-51	51	14543	189	-51	51	14543	189	-51	51	14543	189	-51	51	14543	189	-51	51	14543	189	-51	51	14543
190	-37	37	14580	190	-37	37	14580	190	-37	37	14580	190	-37	37	14580	190	-37	37	14580	190	-37	37	14580	190	-37	37	14580
