Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
133	-34	34	16669	133	-34	34	16669	133	-34	34	16669	133	-34	34	16669	133	-34	34	16669
134	-584	386	17055	134	-584	386	17055	134	-584	386	17055	134	-584	386	17055	134	-584	386	17055
135	-1728	936	17991	135	-1728	936	17991	135	-1728	936	17991	135	-1728	936	17991	135	-1728	936	17991
136	-246	147	18138	136	-246	147	18138	136	-246	147	18138	136	-246	147	18138	136	-246	147	18138
137	-82	82	18220	137	-82	82	18220	137	-82	82	18220	137	-82	82	18220	137	-82	82	18220
138	-1591	1294	19514	138	-1591	1294	19514	138	-1591	1294	19514	138	-1591	1294	19514	138	-1591	1294	19514
139	-51	51	19565	139	-51	51	19565	139	-51	51	19565	139	-51	51	19565	139	-51	51	19565
140	-285	285	19850	140	-285	285	19850	140	-285	285	19850	140	-285	285	19850	140	-285	285	19850
141	-83	83	19933	141	-83	83	19933	141	-83	83	19933	141	-83	83	19933	141	-83	83	19933
142	-23	23	19956	142	-23	23	19956	142	-23	23	19956	142	-23	23	19956	142	-23	23	19956
143	-130	130	20086	143	-130	130	20086	143	-130	130	20086	143	-130	130	20086	143	-130	130	20086
144	-534	435	20521	144	-534	435	20521	144	-534	435	20521	144	-534	435	20521	144	-534	435	20521
145	-174	75	20596	145	-174	75	20596	145	-174	75	20596	145	-174	75	20596	145	-174	75	20596
146	-201	102	20698	146	-201	102	20698	146	-201	102	20698	146	-201	102	20698	146	-201	102	20698
147	-29	29	20727	147	-29	29	20727	147	-29	29	20727	147	-29	29	20727	147	-29	29	20727
148	-133	133	20860	148	-133	133	20860	148	-133	133	20860	148	-133	133	20860	148	-133	133	20860
149	-2691	1602	22462	149	-2691	1602	22462	149	-2691	1602	22462	149	-2691	1602	22462	149	-2691	1602	22462
150	-2408	1319	23781	150	-2408	1319	23781	150	-2408	1319	23781	150	-2408	1319	23781	150	-2408	1319	23781
151	-446	248	24029	151	-446	248	24029	151	-446	248	24029	151	-446	248	24029	151	-446	248	24029
152	-42	42	24071	152	-42	42	24071	152	-42	42	24071	152	-42	42	24071	152	-42	42	24071
153	-137	38	24109	153	-137	38	24109	153	-137	38	24109	153	-137	38	24109	153	-137	38	24109
154	-1182	93	24202	154	-1182	93	24202	154	-1182	93	24202	154	-1182	93	24202	154	-1182	93	24202
155	-197	98	24300	155	-197	98	24300	155	-197	98	24300	155	-197	98	24300	155	-197	98	24300
156	-48	48	24348	156	-48	48	24348	156	-48	48	24348	156	-48	48	24348	156	-48	48	24348
157	-35	35	24383	157	-35	35	24383	157	-35	35	24383	157	-35	35	24383	157	-35	35	24383
158	-39	39	24422	158	-39	39	24422	158	-39	39	24422	158	-39	39	24422	158	-39	39	24422
159	-45	45	24467	159	-45	45	24467	159	-45	45	24467	159	-45	45	24467	159	-45	45	24467
160	-236	236	24703	160	-236	236	24703	160	-236	236	24703	160	-236	236	24703	160	-236	236	24703
161	-110	110	24813	161	-110	110	24813	161	-110	110	24813	161	-110	110	24813	161	-110	110	24813
162	-35	35	24848	162	-35	35	24848	162	-35	35	24848	162	-35	35	24848	162	-35	35	24848
163	-40	40	24888	163	-40	40	24888	163	-40	40	24888	163	-40	40	24888	163	-40	40	24888
164	-35	35	24923	164	-35	35	24923	164	-35	35	24923	164	-35	35	24923	164	-35	35	24923
165	-195	96	25019	165	-195	96	25019	165	-195	96	25019	165	-195	96	25019	165	-195	96	25019
166	-33	33	25052	166	-33	33	25052	166	-33	33	25052	166	-33	33	25052	166	-33	33	25052
167	-30	30	25082	167	-30	30	25082	167	-30	30	25082	167	-30	30	25082	167	-30	30	25082
168	-37	37	25119	168	-37	37	25119	168	-37	37	25119	168	-37	37	25119	168	-37	37	25119
169	-173	74	25193	169	-173	74	25193	169	-173	74	25193	169	-173	74	25193	169	-173	74	25193
170	-593	395	25588	170	-593	395	25588	170	-593	395	25588	170	-593	395	25588	170	-593	395	25588
171	-19	19	25607	171	-19	19	25607	171	-19	19	25607	171	-19	19	25607	171	-19	19	25607
172	-19	19	25626	172	-19	19	25626	172	-19	19	25626	172	-19	19	25626	172	-19	19	25626
173	-29	29	25655	173	-29	29	25655	173	-29	29	25655	173	-29	29	25655	173	-29	29	25655
174	-29	29	25684	174	-29	29	25684	174	-29	29	25684	174	-29	29	25684	174	-29	29	25684
175	-21	21	25705	175	-21	21	25705	175	-21	21	25705	175	-21	21	25705	175	-21	21	25705
176	-29	29	25734	176	-29	29	25734	176	-29	29	25734	176	-29	29	25734	176	-29	29	25734
177	-38	38	25772	177	-38	38	25772	177	-38	38	25772	177	-38	38	25772	177	-38	38	25772
