Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727	57	-15	15	2727
58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759	58	-131	32	2759
59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772	59	-13	13	2772
60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790	60	-216	18	2790
61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803	61	-13	13	2803
62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829	62	-125	26	2829
63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846	63	-17	17	2846
64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885	64	-336	39	2885
65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900	65	-15	15	2900
66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915	66	-15	15	2915
67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928
68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941	68	-13	13	2941
69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954	69	-13	13	2954
70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967	70	-13	13	2967
71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980	71	-13	13	2980
72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993	72	-13	13	2993
73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010	73	-17	17	3010
