Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
81	-122	23	3220	81	-122	23	3220	81	-122	23	3220	81	-122	23	3220	81	-122	23	3220	81	-122	23	3220	81	-122	23	3220	81	-122	23	3220	81	-122	23	3220	81	-122	23	3220
82	-13	13	3233	82	-13	13	3233	82	-13	13	3233	82	-13	13	3233	82	-13	13	3233	82	-13	13	3233	82	-13	13	3233	82	-13	13	3233	82	-13	13	3233	82	-13	13	3233
83	-13	13	3246	83	-13	13	3246	83	-13	13	3246	83	-13	13	3246	83	-13	13	3246	83	-13	13	3246	83	-13	13	3246	83	-13	13	3246	83	-13	13	3246	83	-13	13	3246
84	-15	15	3261	84	-15	15	3261	84	-15	15	3261	84	-15	15	3261	84	-15	15	3261	84	-15	15	3261	84	-15	15	3261	84	-15	15	3261	84	-15	15	3261	84	-15	15	3261
85	-15	15	3276	85	-15	15	3276	85	-15	15	3276	85	-15	15	3276	85	-15	15	3276	85	-15	15	3276	85	-15	15	3276	85	-15	15	3276	85	-15	15	3276	85	-15	15	3276
86	-230	32	3308	86	-230	32	3308	86	-230	32	3308	86	-230	32	3308	86	-230	32	3308	86	-230	32	3308	86	-230	32	3308	86	-230	32	3308	86	-230	32	3308	86	-230	32	3308
87	-15	15	3323	87	-15	15	3323	87	-15	15	3323	87	-15	15	3323	87	-15	15	3323	87	-15	15	3323	87	-15	15	3323	87	-15	15	3323	87	-15	15	3323	87	-15	15	3323
88	-22	22	3345	88	-22	22	3345	88	-22	22	3345	88	-22	22	3345	88	-22	22	3345	88	-22	22	3345	88	-22	22	3345	88	-22	22	3345	88	-22	22	3345	88	-22	22	3345
89	-230	32	3377	89	-230	32	3377	89	-230	32	3377	89	-230	32	3377	89	-230	32	3377	89	-230	32	3377	89	-230	32	3377	89	-230	32	3377	89	-230	32	3377	89	-230	32	3377
90	-115	16	3393	90	-115	16	3393	90	-115	16	3393	90	-115	16	3393	90	-115	16	3393	90	-115	16	3393	90	-115	16	3393	90	-115	16	3393	90	-115	16	3393	90	-115	16	3393
91	-15	15	3408	91	-15	15	3408	91	-15	15	3408	91	-15	15	3408	91	-15	15	3408	91	-15	15	3408	91	-15	15	3408	91	-15	15	3408	91	-15	15	3408	91	-15	15	3408
92	-13	13	3421	92	-13	13	3421	92	-13	13	3421	92	-13	13	3421	92	-13	13	3421	92	-13	13	3421	92	-13	13	3421	92	-13	13	3421	92	-13	13	3421	92	-13	13	3421
